Year,Refugees under UNHCRâ€™s mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Palestine refugees under UNRWA's mandate
2009,10395724,987875,15628057,0,4766670
2010,10548848,835871,14697804,0,4691079
2011,10403951,895604,15473378,0,4797723
2012,10497028,941455,17670368,0,4919917
2013,11698238,1162819,23925555,0,5030049
2014,14384302,1794615,32274619,0,5149742
2015,16110280,3223302,37494172,0,5241257
2016,17184291,2729357,36627127,0,5340443
2017,19940568,3089378,39118516,0,5442947
2018,20359556,3501521,41425168,2592947,5545540
2019,20444819,4148010,43503362,3582202,5629829